Model,MAE,RMSE,Test R-squared
BMI Only,8961.563578791436,11608.82172758352,0.06514341382458666
BMI + Smoking,4826.164925306071,6177.592061713083,0.7352675611791644
BMI x Smoking,4323.579222584624,5594.391743848718,0.7828926848171307
